,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11026,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695781,19695781,FALSE,,1,,,,2024-05-09T06:03:00.000Z,61606.38718,24997911370,-0.6549,0.14742004,-1.65143961,7.27480438,-13.33940711,-11.26542831,33.30927642,1.21339E+12,53.1372,1.29373E+12,,2024-05-09T06:03:00.000Z,,,,,,04:34.7
1,1027,Ethereum,ETH,ethereum,8905,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120105242.7,120105242.7,TRUE,,2,,,,2024-05-09T06:02:00.000Z,3004.990851,11378581270,-0.2929,0.39043278,-0.65471281,3.14480835,-18.57520939,-23.83909129,22.54712837,3.60915E+11,15.8063,3.60915E+11,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
2,825,Tether USDt,USDT,tether,84947,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10956E+11,1.13087E+11,TRUE,,3,,,,2024-05-09T06:02:00.000Z,0.999493818,45586114923,1.8561,0.00446087,-0.04017133,0.03601207,-0.04638683,-0.2459583,-0.03560149,1.109E+11,4.8569,1.13029E+11,,2024-05-09T06:02:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,04:34.7
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587103.3,147587103.3,FALSE,,4,,,,2024-05-09T06:02:00.000Z,598.8189477,1740131465,11.6203,0.54883955,2.43009165,9.37466585,2.54701201,21.24241066,86.6530262,88377953861,3.8695,88377953861,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
4,5426,Solana,SOL,solana,657,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448142242,575542997.1,TRUE,,5,,,,2024-05-09T06:02:00.000Z,144.5776096,2433728080,-2.8836,0.52495771,-1.86214664,11.65782534,-18.87247574,-2.1729492,37.70340562,64791334107,2.8377,83210630750,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
5,3408,USDC,USDC,usd-coin,18983,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33088064924,33088064924,FALSE,,6,,,,2024-05-09T06:02:00.000Z,0.999938353,5260690582,-2.4678,-0.00207667,-0.00134831,-0.0089802,-0.00642528,-0.00018909,-0.00021604,33086025133,1.4486,33086025133,,2024-05-09T06:02:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,04:34.7
6,52,XRP,XRP,xrp,1314,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",1E+11,55359176420,99987633657,FALSE,,7,,,,2024-05-09T06:03:00.000Z,0.522265302,1016798580,-11.9116,0.26054841,0.13903936,2.10550598,-15.28879194,-16.20850709,0.76278721,28912177017,1.2661,52226530247,,2024-05-09T06:03:00.000Z,,,,,,04:34.7
7,74,Dogecoin,DOGE,dogecoin,963,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,1.44215E+11,1.44215E+11,TRUE,,8,,,,2024-05-09T06:03:00.000Z,0.147866674,1135917570,5.7028,0.48026824,-1.39624502,17.48566049,-26.05631981,-16.70407863,83.2904756,21324624401,0.9337,21324624401,,2024-05-09T06:03:00.000Z,,,,,,04:34.7
8,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3473431002,5106350278,TRUE,,9,3414166606,20229531035,,2024-05-09T06:02:00.000Z,5.92517395,200330949.2,15.8628,0.43234358,2.87770998,25.41969749,-12.56528253,107.1596908,186.5655217,20580682891,0.9014,30256013648,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
9,2010,Cardano,ADA,cardano,1163,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35661664511,36855324087,FALSE,,10,,,,2024-05-09T06:02:00.000Z,0.458854868,521828836,76.68,-0.2681032,3.77884774,3.30744594,-25.05305487,-37.50725902,-14.69318481,16363528360,0.7166,20648469057,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
